Gene,p-value,Fold Change,log2(Fold Change)
ZNF273,5.5697978856204924e-18,3.424483063705985,1.775886225236959
LOC157860,5.5721422157590236e-18,2.863824848118558,1.5179432598934055
USP11,5.590783440659308e-18,3.2242870663812244,1.6889801963496511
NFX1,5.610635339587325e-18,3.119948823896823,1.6415223649478485
KCNQ1,5.61714866403516e-18,3.1316174234445255,1.6469079753964675
LOC403323 /// RP11-791G15.1,5.61793311558257e-18,2.7348791517742543,1.4514770849418053
MIR4746 /// UBXN6,5.6650462194115814e-18,3.1929368089752495,1.6748840009881343
FLYWCH1,5.6768198509786576e-18,2.9947098067996665,1.582416209833806
CCDC148,5.700682267428217e-18,3.0441448806494047,1.6060370229743113
PMCH,5.7074923582654795e-18,5.757382636379018,2.525413097135838
DQ594366,5.7103472688881835e-18,2.6594717312581957,1.4111397019736014
PSMG2,5.729349071173784e-18,3.2207625005691636,1.6874022801296376
DLGAP1-AS3,5.736800641752799e-18,2.4935506923983857,1.3182015324308896
OCEL1,5.7397631271294936e-18,3.2120631074058856,1.6835002377640478
DNAH3,5.743374023060818e-18,2.7978455351440186,1.4843163156716832
SNX15,5.76969879259131e-18,3.099561897625734,1.6320643145999834
FAM206A,5.813676674129218e-18,3.213574270687997,1.6841788156809097
PEX14,5.82819125621701e-18,3.0496245763493923,1.6086316508146254
GPR107,5.8755106199141764e-18,3.0665958490734244,1.6166380443494945
NHEG1,5.900390723760485e-18,2.576742936242904,1.3655486167061732
PAN2,5.9143001941925665e-18,3.1813227728778295,1.6696267532690032
SLFN5,5.91714678735534e-18,3.239973209383397,1.6959818838353593
CLYBL-AS2,5.937559176062396e-18,2.448753288749798,1.292047430077278
KRTAP7-1,5.938291671016969e-18,2.332031852953427,1.2215874942777338
RNF2,5.980234085479406e-18,2.977414537791856,1.5740600982914488
RPS4XP9 /// RPS4XP9,5.981727811649983e-18,3.029746451725238,1.5991970649377896
SARDH,5.9890630385999135e-18,1.9141008472465548,0.9366668423577411
ASPN,6.001704146010881e-18,3.7997383613092395,1.9259000822833494
PREPL,6.0313550549027774e-18,3.214095869970276,1.6844129623259803
PPP1R2,6.0420818688616936e-18,3.164881442417805,1.662151456797532
VPS13B,6.04752019822752e-18,3.1927769012899954,1.674811746566771
PRKAG2-AS1,6.056058691076477e-18,3.0680519556742536,1.6173229142485772
GPBP1,6.0575579213703e-18,3.2150542776034037,1.6848430938108476
NUDT21,6.0618976259162295e-18,3.2086695833879966,1.6819752340103074
SNHG4,6.0723276986241805e-18,2.678379346780513,1.4213603082950204
C14orf142,6.1039413372731254e-18,3.2864332871453743,1.7165226994015204
ZNF285 /// ZNF806,6.108811072081085e-18,3.414188476986585,1.7715427031542663
CNOT4,6.1123079126634e-18,3.0917938655078236,1.628444135846496
JOSD2,6.123469194104903e-18,2.867517706380436,1.5198023946380939
CNOT7,6.1368872387940426e-18,3.2130061553412905,1.6839237446661095
C19orf60,6.1394500851335416e-18,3.1055072203288008,1.6348289220658767
FGD1,6.14082528297067e-18,2.9175156920475085,1.5447404155824056
DPP7,6.141347893556622e-18,3.104617154225228,1.6344153735167553
GIGYF1,6.148961972531067e-18,2.8259054657613305,1.4987132043984954
ANXA4,6.150607045866969e-18,3.303886902851437,1.72416430192442
PDGFRL,6.154557553260379e-18,4.221678133470767,2.0778165898298715
ZNF618,6.168379594244002e-18,3.1616632807171485,1.6606837278775788
RPS27A,6.171858949129275e-18,3.2428928732834845,1.6972813661509871
MIR4435-1HG /// RP11-181E10.3,6.173589123547485e-18,2.3850079349559548,1.253994066106075
C12orf10,6.194582110447259e-18,3.1441970276184716,1.6526916253133679
CLDN12 /// LOC102723899,6.195955622430139e-18,2.993628776290259,1.5818953316802835
LOC100126784,6.221785127334361e-18,2.131271503701163,1.0917143904425093
PPP2R2A,6.2255701708689425e-18,3.2003642111528374,1.6782360975264652
PHYH,6.256131427876798e-18,3.2927683138694985,1.7193010044353574
ORC3,6.258436388669935e-18,3.2268403521824536,1.6901222023020217
SNRNP200,6.2689790433398e-18,3.2276606638359167,1.6904889106061554
ALDH1L1-AS2,6.30761099755014e-18,2.4361309768273762,1.284591700789236
TRAPPC2L,6.3126235181374675e-18,3.023373314070184,1.596159128190108
